"","word","mystemuniquewords"
"1","25",""
"2","июля","июль"
"3","впервые","впервые"
"4","москве","москва"
"5","парке","парк"
"6","искусств","искусство"
"7","музеон","музеон"
"8","прошел","пройти"
"9","удмуртский","удмуртский"
"10","национальный","национальный"
"11","праздник","праздник"
"12","гербер","гербер"
"13","мероприятие","мероприятие"
"14","состоялось","состояться"
"15","рамках","рамка"
"16","удмуртии","удмуртия"
"17","посвященного","посвящать"
"18","175",""
"19","летию","летие"
"20","дня","день"
"21","рождения","рождение"
"22","п.и.чайковского","п и чайковский"
"23","95",""
"24","государственности","государственность"
"25","самых","самый"
"26","любимых","любимый"
"27","популярных","популярный"
"28","праздников","праздник"
"29","благодарения","благодарение"
"30","земли","земля"
"31","торжества","торжество"
"32","единения","единение"
"33","сил","сила"
"34","природы","природа"
"35","человека","человек"
"36","силы","сила"
"37","ловкости","ловкость"
"38","молодецкой","молодецкий"
"39","удали","удаль"
"40","демонстрация","демонстрация"
"41","умений","умение"
"42","знаний","знание"
"43","старшим","старший"
"44","поколением","поколение"
"45","благодарность","благодарность"
"46","сделали","сделать"
"47","главная","главный"
"48","цель","цель"
"49","мероприятия","мероприятие"
"50","знакомство","знакомство"
"51","жителей","житель"
"52","гостей","гость"
"53","столицы","столица"
"54","культурным","культурный"
"55","наследием","наследие"
"56","традициями","традиция"
"57","самобытностью","самобытность"
"58","национальным","национальный"
"59","колоритом","колорит"
"60","удмуртского","удмуртский"
"61","народа","народ"
"62","укрепление","укрепление"
"63","межрегиональных","межрегиональный"
"64","межкультурных","межкультурный"
"65","связей","связь"
"66","гармонизация","гармонизация"
"67","межэтнических","межэтнический"
"68","отношений","отношение"
"69","официальном","официальный"
"70","открытии","открытие"
"71","приняли","принимать"
"72","участие","участие"
"73","глава","глава"
"74","удмуртской","удмуртский"
"75","республики","республика"
"76","александр","александр"
"77","соловьев","соловей"
"78","руководитель","руководитель"
"79","департамента","департамент"
"80","национальной","национальный"
"81","политики","политика"
"82","туризма","туризм"
"83","города","город"
"84","москвы","москва"
"85","владимир","владимир"
"86","черников","черников"
"87","приветственным","приветственный"
"88","словом","слово"
"89","участникам","участник"
"90","праздника","праздник"
"91","обратился","обращаться"
"92","федерального","федеральный"
"93","агентства","агентство"
"94","делам","дело"
"95","национальностей","национальность"
"96","игорь","игорь"
"97","баринов","баринов"
"98","поздравил","поздравлять"
"99","собравшихся","собираться"
"100","праздником","праздник"
"101","отметил","отмечать"
"102","важность","важность"
"103","таких","такой"
"104","мероприятий","мероприятие"
"105","сохранении","сохранение"
"106","этнокультурной","этнокультурный"
"107","самобытности","самобытность"
"108","народов","народ"
"109","россии","россия"
"110","укреплении","укрепление"
"111","единства","единство"
"112","российской","российский"
"113","нации","нация"
"114","удмуртия","удмуртия"
"115","известна","известный"
"116","своими","свой"
"117","брендами","бренд"
"118","чайковским","чайковский"
"119","автоматом","автомат"
"120","калашникова","калашников"
"121","бурановскими","бурановский"
"122","бабушками","бабушка"
"123","уверен","уверенный"
"124","станет","становиться"
"125","новым","новый"
"126","удмуртским","удмуртский"
"127","брендом","бренд"
"128","нашей","наш"
"129","многонациональной","многонациональный"
"130","многоконфессиональной","многоконфессиональный"
"131","страны","страна"
"132","узнаем","узнавать"
"133","культуру","культура"
"134","традиции","традиция"
"135","разных","разный"
"136","залог","залог"
"137","нашего","наш"
"138","фадн","фадна"
"139","празднике","праздник"
"140","выступили","выступать"
"141","лучшие","хороший"
"142","творческие","творческий"
"143","коллективы","коллектив"
"144","звезды","звезда"
"145","эстрады","эстрада"
"146","знаменитые","знаменитый"
"147","бурановские","бурановский"
"148","бабушки","бабушка"
"149","популярные","популярный"
"150","всей","весь"
"151","гости","гость"
"152","смогли","смочь"
"153","попробовать","попробовать"
"154","традиционные","традиционный"
"155","блюда","блюдо"
"156","кухни","кухня"
"157","перепечи","перепетать"
"158","табани","табани"
"159","национальную","национальный"
"160","кашу","каша"
"161","принять","принимать"
"162","мастер","мастер"
"163","классах","класс"
"164","танцам","танец"
"165","играм","игра"
"166","ремеслам","ремесло"
"167","купить","купить"
"168","изделия","изделие"
"169","народных","народный"
"170","мастеров","мастер"
"171","поиграть","поиграть"
"172","шахматы","шахматы"
"173","потанцевать","потанцевать"
"174","этнодискотеке","этнодискотека"
"175","многое","многое"
"176","20",""
"177","состоялась","состояться"
"178","встреча","встреча"
"179","руководителя","руководитель"
"180","игоря","игорь"
"181","баринова","баринов"
"182","специальным","специальный"
"183","помощником","помощник"
"184","президента","президент"
"185","исламской","исламский"
"186","иран","иран"
"187","религиозных","религиозный"
"188","меньшинств","меньшинство"
"189","господином","господин"
"190","али","али"
"191","юнеси","юнести"
"192","агентство","агентство"
"193","созданное","создавать"
"194","марте","март"
"195","2015",""
"196","активно","активно"
"197","работает","работать"
"198","стоят","стоять"
"199","задачи","задача"
"200","противодействию","противодействие"
"201","экстремизму","экстремизм"
"202","укреплению","укрепление"
"203","межнационального","межнациональный"
"204","согласия","согласие"
"205","стране","страна"
"206","словам","слово"
"207","являются","являться"
"208","многонациональными","многонациональный"
"209","государствами","государство"
"210","нашими","наш"
"211","странами","страна"
"212","накоплен","накапливать"
"213","опыт","опыт"
"214","сфере","сфера"
"215","развития","развитие"
"216","необходимо","необходимо"
"217","использовать","использовать"
"218","совместных","совместный"
"219","проектах","проект"
"220","тема","тема"
"221","межнациональных","межнациональный"
"222","крайне","крайне"
"223","важна","важный"
"224","проживает","проживать"
"225","193",""
"226","говорят","говорить"
"227","300",""
"228","языках","язык"
"229","диалектах","диалект"
"230","многонациональный","многонациональный"
"231","состав","состав"
"232","рассматриваем","рассматривать"
"233","уникальное","уникальный"
"234","преимущество","преимущество"
"235","несмотря","несмотря"
"236","всевозможные","всевозможный"
"237","санкции","санкция"
"238","внешнее","внешний"
"239","вмешательство","вмешательство"
"240","дела","дело"
"241","народы","народ"
"242","сплотились","сплачиваться"
"243","лидера","лидер"
"244","попытки","попытка"
"245","расшатать","расшатывать"
"246","ситуацию","ситуация"
"247","межнациональному","межнациональный"
"248","принципу","принцип"
"249","обречены","обреченный"
"250","провал","провал"
"251","заявил","заявлять"
"252","встрече","встреча"
"253","господин","господин"
"254","сообщил","сообщать"
"255","иране","иран"
"256","налажен","налаживать"
"257","диалог","диалог"
"258","властью","власть"
"259","представителями","представитель"
"260","племен","племя"
"261","проживающих","проживать"
"262","территории","территория"
"263","государства","государство"
"264","стараемся","стараться"
"265","национальные","национальный"
"266","меньшинства","меньшинство"
"267","проживающие","проживать"
"268","приграничных","приграничный"
"269","территориях","территория"
"270","обладали","обладать"
"271","правами","право"
"272","возможностями","возможность"
"273","какими","какой"
"274","пользуется","пользоваться"
"275","основная","основной"
"276","населения","население"
"277","центральных","центральный"
"278","регионов","регион"
"279","ирана","иран"
"280","пояснил","пояснять"
"281","участники","участник"
"282","встречи","встреча"
"283","обменялись","обменяться"
"284","мнениями","мнение"
"285","вовлечения","вовлечение"
"286","людей","человек"
"287","террористические","террористический"
"288","организации","организация"
"289","частности","частность"
"290","игил","игил"
"291","господина","господин"
"292","граждане","гражданин"
"293","сторонниками","сторонник"
"294","идей","идея"
"295","радикального","радикальный"
"296","ислама","ислам"
"297","90",""
"298","шииты","шиит"
"299","суннитов","суннит"
"300","ведется","вестись"
"301","сотрудничество","сотрудничество"
"302","стороны","сторона"
"303","отметили","отмечать"
"304","вопросах","вопрос"
"305","противодействия","противодействие"
"306","велика","большой"
"307","роль","роль"
"308","взаимодействия","взаимодействие"
"309","правоохранительными","правоохранительный"
"310","органами","орган"
"311","лидерами","лидер"
"312","национально","национальный"
"313","культурных","культурный"
"314","организаций","организация"
"315","обучение","обучение"
"316","представителей","представитель"
"317","исполнительной","исполнительный"
"318","власти","власть"
"319","эффективному","эффективный"
"320","взаимодействию","взаимодействие"
"321","культурными","культурный"
"322","организациями","организация"
"323","национальных","национальный"
"324","позволяет","позволять"
"325","наладить","налаживать"
"326","качественный","качественный"
"327","завершая","завершать"
"328","беседу","беседа"
"329","высказали","высказывать"
"330","заинтересованность","заинтересованность"
"331","развитии","развитие"
"332","сотрудничества","сотрудничество"
"333","россией","россия"
"334","ираном","иран"
"335","совместного","совместный"
"336","преодоления","преодоление"
"337","угроз","угроза"
"338","миру","мир"
"339","согласию","согласие"
"340","выразили","выражать"
"341","намерение","намерение"
"342","следующей","следующий"
"343","обсудить","обсуждать"
"344","конкретные","конкретный"
"345","предложения","предложение"
"346","совместные","совместный"
"347","числе","число"
"348","распространению","распространение"
"349","игила","игила"
"350","обмен","обмен"
"351","опытом","опыт"
"352","религиозного","религиозный"
"353","образования","образование"
"354","рад","рад"
"355","своем","свой"
"356","кабинете","кабинет"
"357","удовольствием","удовольствие"
"358","пообщаюсь","пообщаться"
"359","кабинет","кабинет"
"360","поблагодарил","поблагодарить"
"361","стратегия","стратегия"
"362","меняться","меняться"
"363","задача","задача"
"364","искать","искать"
"365","механизмы","механизм"
"366","реализации","реализация"
"367","ведомства","ведомство"
"368","принята","принятый"
"369","утверждена","утверждать"
"370","президентом","президент"
"371","прогнозировать","прогнозировать"
"372","какие","какой"
"373","вещи","вещь"
"374","вперед","вперед"
"375","новые","новый"
"376","риа","риа"
"377","новости","новость"
"378","напомним","напоминать"
"379","президент","президент"
"380","путин","путин"
"381","31",""
"382","марта","март"
"383","подписал","подписывать"
"384","указ","указ"
"385","федеральном","федеральный"
"386","агентстве","агентство"
"387","реализовывать","реализовывать"
"388","политику","политика"
"389","нормативно","нормативный"
"390","правовое","правовой"
"391","регулирование","регулирование"
"392","оказание","оказание"
"393","услуг","услуга"
"394","займется","заниматься"
"395","мерами","мера"
"396","направленными","направлять"
"397","многонационального","многонациональный"
"398","обеспечением","обеспечение"
"399","этнокультурного","этнокультурный"
"400","защитой","защита"
"401","прав","правый"
"402","коренных","коренной"
"403","малочисленных","малочисленный"
"404","ранее","ранее"
"405","вопросы","вопрос"
"406","государственной","государственный"
"407","курировало","курировать"
"408","упраздненное","упразднять"
"409","министерство","министерство"
"410","регионального","региональный"
"411","ликвидации","ликвидация"
"412","министерства","министерство"
"413","функции","функция"
"414","нацполитике","нацполитика"
"415","переданы","передавать"
"416","минкультуры","минкультуры"
"417","которую","который"
"418","кабмине","кабмин"
